followers_count,friends_count,listedcount,favourites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,bot
1300380,24248,7089,4184,yes,8536,no,no,no,0
8217,2927,368,756,yes,1396,no,no,no,0
416318,567,173,8652,yes,4551,no,no,no,0
3012,729,754,10678,no,14560,no,no,no,0
2,5,0,3,no,6,yes,no,N/A,0
66500,2456,1385,223,yes,25109,no,no,no,0
5,237,0,0,no,2,yes,no,yes,0
28875,0,855,0,yes,437,no,no,no,0
2775633,139,24528,20,yes,426,no,no,no,0
159,242,3,13,no,292,yes,no,no,0
46,12,12,986,no,6083,no,no,no,0
107622,76,1144,127,yes,3900,no,no,yes,0
502303,13766,4875,3374,yes,69778,no,no,yes,0
375395,856,2743,1051,yes,12859,no,no,no,0
289,208,4,20,no,1247,no,no,no,0
3706945,69092,14625,31627,yes,63643,no,no,yes,0
301788,46,2199,0,yes,177,yes,no,no,0
554,1188,13,1579,no,25119,no,no,yes,0
687819,289,5197,4662,yes,16654,no,no,no,0
211616,8617,4071,1941,yes,2037,no,no,no,0
1571,181,49,608,no,409,no,no,no,0
111,329,1,2,no,1978,no,no,no,0
214,265,0,24,no,816,no,no,no,0
9,30,0,0,no,6,yes,yes,no,0
7886947,239,5192,4533,yes,1637,no,no,yes,0
13071,12939,27,315,no,1778,yes,no,no,0
15,65,1,0,no,65,no,no,no,0
6298,3780,82,85334,no,46617,no,no,yes,0
50549694,95,86635,0,yes,2822,no,no,no,0
2633,2086,140,555,no,9628,no,no,no,0
957244,372,6928,3345,yes,305,no,no,no,0
8674,50,8,47,no,354,yes,no,no,0
1763697,397,5993,708,yes,3859,no,no,no,0
149,65,7,60,no,95,no,no,no,0
8637650,2001,7746,81,yes,9769,no,no,no,0
1193,2268,43,1437,no,2991,no,no,no,0
132562,842,3292,4046,yes,5000,no,no,no,0
9374054,663,46921,491,yes,66,no,no,no,0
7614166,62,10958,0,yes,4630,no,no,no,0
144137,1,3753,1,yes,377,no,no,no,0
999,968,47,398,no,1027,no,no,no,0
1044180,557,3582,5,yes,2389,no,no,no,0
1344610,2006,11357,949,yes,11970,no,no,no,0
203,97,20,1218,no,570,no,no,no,0
192,304,3,128,no,119,no,no,no,0
25255491,671,51938,177,yes,6976,no,no,no,0
4870150,41019,14970,5886,yes,57218,no,no,yes,0
3885,333,186,153,no,2100,yes,no,no,0
250,523,8,3313,no,596,no,no,no,0
2838072,261,7044,27,yes,15473,no,no,no,0
3039240,1744,35817,412,yes,37953,no,no,no,0
7,55,0,0,no,19,yes,no,no,0
738119,33,13315,6,yes,1125,no,no,no,0
79,244,0,821,no,4018,no,no,no,0
232,238,3,2721,no,33238,no,no,no,0
136,300,5,95,no,1748,no,no,no,0
32,79,0,0,no,493,no,no,no,0
392,638,22,110,no,4530,yes,no,no,0
40,141,0,0,no,292,no,no,no,0
533146,454,4398,111,yes,9671,no,no,yes,0
2,75,0,0,no,0,yes,yes,N/A,0
197,599,2,135,no,1732,no,no,yes,0
779,471,209,271,no,278,no,no,no,0
1030609,4200,5333,746,yes,18369,no,no,yes,0
2254,200,45,573,no,3437,no,no,no,0
5324,184,151,1350,yes,2631,no,no,yes,0
114,128,3,43,no,6325,no,no,no,0
292043,4643,3088,9625,yes,37195,no,no,no,0
397,2436,36,171,no,569,no,no,no,0
66,481,0,369,no,530,no,no,no,0
5458,4382,351,27939,no,6819,no,no,N/A,0
104765,7128,6189,3256,yes,13703,no,no,no,0
66368,636,838,338,yes,1976,no,no,no,0
216,50,3,423,no,9957,no,no,no,0
26318809,354,70385,26,yes,4642,no,no,no,0
45,150,24,32,no,108,no,no,no,0
28933243,800,27857,43,yes,42955,no,no,no,0
2671727,92031,14909,100,yes,58530,no,no,no,0
301,786,10,561,no,1814,no,no,no,0
27,118,1,28,no,29,yes,no,no,0
94472,66,62,336,yes,857,no,no,no,0
571310,76070,4909,37437,yes,56077,no,no,yes,0
44,99,2,20,no,24,no,no,yes,0
118242,429,2996,2752,yes,5329,no,no,no,0
25887,2623,411,17033,no,14258,no,no,no,0
0,10,0,0,no,1,yes,no,N/A,0
6696,5379,172,756,no,5688,no,no,no,0
9942270,462,34321,13944,yes,7312,no,no,no,0
2077766,113,5359,74,yes,2274,no,no,no,0
112379,2116,73,2641,no,6421,yes,no,yes,0
16,19,0,6,no,37,no,no,no,0
1825704,7,1182,20,yes,3781,no,no,no,0
376564,423,734,5306,yes,1747,no,no,no,0
2282,275,65,493,no,4757,no,no,no,0
41,290,0,79,no,3,yes,no,yes,0
84,103,7,107,no,158,no,no,no,0
7222,787,116,4,no,16034,no,no,yes,0
7519,7,282,93,no,11363,no,no,no,0
381,197,33,2822,no,3064,no,no,no,0
62647,277,1197,431,yes,11885,no,no,no,0
4060,95,24,39,no,26,no,no,yes,0
113,280,6,2600,no,4538,no,no,no,0
20997,567,528,433,yes,1927,no,no,no,0
3654259,1336,1129,3557,yes,3456,no,no,no,0
25,166,0,0,no,12,yes,yes,no,0
251,545,1,5095,no,2317,no,no,no,0
14448,699,479,5322,yes,6444,no,no,no,0
88,231,2,9,no,184,no,no,no,0
3917025,401,19708,15,yes,47384,no,no,no,0
1617508,326,8249,788,yes,17816,no,no,no,0
835901,36,446,18,yes,289,no,no,yes,0
7088,354,418,546,no,309,yes,no,no,0
5,11,0,0,no,0,yes,no,no,0
232,386,1,3798,no,2369,yes,no,no,0
876,448,38,67,no,9732,no,no,yes,0
1221007,14466,5214,3216,yes,12793,no,no,no,0
829,621,36,753,no,9500,no,no,no,0
53028,10,405,0,yes,25,yes,no,no,0
214,746,3,155,no,1177,no,no,no,0
203,2231,0,693,no,36,yes,no,no,0
8740007,9,9992,1127,yes,36200,no,no,no,0
2133107,50,17074,2,yes,1337,no,no,no,0
513333,243,3857,48,yes,1707,no,no,no,0
121,592,13,1690,no,1085,yes,no,yes,0
47395,1099,3332,714021,yes,24623,no,no,yes,0
397,684,3,5430,no,5649,yes,no,no,0
815583,178,4533,484,yes,2391,no,no,no,0
48,13,0,0,no,10,no,no,no,0
44865,113,481,907,yes,3460,no,no,no,0
240,2,13,0,no,3622,no,no,no,0
1267,134,13,9912,no,7029,no,no,no,0
3342242,799,945,3517,yes,5428,no,no,no,0
146,932,0,3,no,9,no,no,no,0
506,257,4,1863,no,34250,no,no,no,0
2135538,511,12020,6,yes,6781,yes,no,no,0
3,8,0,1,no,13,yes,no,no,0
54,89,0,1,no,1177,no,no,no,0
68,255,0,0,no,6,yes,yes,no,0
803334,9226,4170,2529,yes,33583,no,no,no,0
750,2657,266,8757,no,14773,no,no,no,0
23763283,81,29416,14,yes,56274,no,no,no,0
93,272,0,0,no,0,yes,no,no,0
99158,2692,943,150,yes,16524,no,no,no,0
2944752,555,32524,32759,yes,30143,no,no,yes,0
35,134,7,17,no,989,no,no,no,0
27878790,1688,20383,0,yes,14354,no,no,yes,0
4763532,742,8997,158,yes,20404,no,no,no,0
1717,25,53,0,no,9,yes,no,no,0
96801,310,895,23,yes,25003,no,no,no,0
1951,125,57,10,no,170,yes,no,no,0
297738,328,1607,17,yes,2639,no,no,no,0
318163,759,1961,125,yes,22964,no,no,no,0
208,190,0,180,no,81,no,no,yes,0
18,92,0,14,no,7,yes,no,no,0
560,378,29,902,no,1134,no,no,no,0
45,143,2,0,no,180,no,no,no,0
2651471,519,7734,1316,yes,2078,yes,no,no,0
6755,207,338,474,yes,2370,no,no,no,0
193,208,5,851,no,4047,no,no,no,0
1569900,81,2516,4,yes,1153,no,no,no,0
19309,1202,1139,254,yes,5036,no,no,no,0
17194019,143,36881,40,yes,853,no,no,no,0
204,269,61,635,no,2672,no,no,no,0
349930,845,4885,70,yes,20775,yes,no,no,0
2844,126,110,692,yes,263,yes,no,no,0
86657,933,1101,9061,yes,124550,no,no,yes,0
256832,657,3930,45,yes,2724,no,no,no,0
1182355,272,9485,2498,yes,9677,no,no,no,0
887384,343,5325,1032,yes,52594,no,no,no,0
870,667,1,243,no,617,no,no,no,0
52,337,0,2503,no,247,no,no,no,0
289928,1061,1433,18,yes,19353,no,no,no,0
1106,4998,6,119,no,136,no,no,N/A,0
49222,8,1772,19,no,489,yes,no,no,0
49468,46,79,418,no,10015,no,no,no,0
46,70,2,205,no,173,no,no,N/A,0
1026238,223642,7199,14499,yes,19256,no,no,no,0
70,354,8,60,no,5074,no,no,no,0
7973,6,450,1,yes,702,no,no,no,0
1780,820,55,587,no,1827,no,no,no,0
30454,797,1024,500,yes,4676,no,no,no,0
5262,291,401,0,no,969,no,no,no,0
951201,37234,3035,2148,yes,11766,no,no,no,0
3875,1256,399,1428,no,5375,no,no,no,0
777892,281,545,226,yes,1575,no,no,no,0
36,183,0,12,no,27,no,no,no,0
138849,216,1511,6,yes,987,no,no,yes,0
81,60,0,31,no,20,yes,no,no,0
59,94,1,5,no,65,no,no,no,0
130,1156,1,351,no,152,yes,no,yes,0
328658,110,4381,3,yes,319,yes,no,no,0
13393,994,735,4163,yes,6454,no,no,yes,0
166,294,15,77,no,261,no,no,no,0
14347,543,458,17549,no,7018,yes,no,no,0
3159194,408,14976,13,yes,5701,no,no,no,0
1,4,0,0,no,0,no,no,no,0
12,16,0,0,no,15,yes,no,N/A,0
208,768,30,970,no,4057,no,no,no,0
1867,2913,202,1375,no,6544,no,no,no,0
115,111,4,20,no,7624,no,no,no,0
18747,1284,422,2148,no,675,yes,no,no,0
2,10,0,0,no,2,yes,yes,no,0
118,342,8,62,no,46,yes,no,yes,0
1871284,9,2572,2,yes,4238,no,no,no,0
369,783,19,161,no,875,yes,no,no,0
84477,2,3316,405,no,4193,no,no,no,0
183414,268,3129,1970,yes,15148,no,no,no,0
39454,592,4006,848,yes,15890,no,no,no,0
41,182,2,57,no,65,yes,no,no,0
28610,667,361,505,no,224,no,no,yes,0
9303960,2411,33005,4,yes,5123,no,no,no,0
200622,586,0,564,yes,12902,no,no,no,0
1517993,3739,12313,1412,yes,32702,no,no,no,0
324,340,4,1051,no,273,no,no,no,0
631587,253,8861,3131,yes,9532,no,no,no,0
777,614,41,690,no,499,no,no,no,0
4,27,0,32,no,18,yes,no,no,0
17342,276,471,1143,yes,6038,no,no,no,0
5524,58,260,1,no,39,yes,no,no,0
1227898,1305,4355,736,yes,3792,no,no,no,0
253,168,2,9844,no,12884,no,no,no,0
147,875,2,341,no,296,no,no,no,0
171,523,1,4186,no,6162,no,no,yes,0
758,654,5,7131,no,30413,no,no,yes,0
7518766,13587,22620,4,yes,6952,no,no,no,0
234,230,57,82,no,248,yes,no,no,0
21552,661,473,8249,no,4166,no,no,no,0
211,355,9,5017,no,5122,yes,no,no,0
177335,1609,4538,4609,yes,12818,no,no,no,0
6378,44,133,4458,no,7244,no,no,no,0
533222,3,3522,0,no,790,no,no,no,0
101905,750,280,1468,yes,3714,yes,no,no,0
6962978,724,16620,524,yes,2357,no,no,no,0
7467659,13,19386,0,yes,774,no,no,yes,0
19451,6,36,37,no,254,yes,no,no,0
24022023,353,45710,1007,yes,1566,no,no,no,0
219,408,7,18,no,435,no,no,no,0
5766,333,565,0,yes,358,no,no,no,0
4440,423,160,18,yes,2229,no,no,no,0
50,268,0,5,no,20,no,no,no,0
39,270,0,364,no,307,yes,no,no,0
246,251,9,3221,no,1642,yes,no,no,0
301,285,7,1326,no,3379,no,no,no,0
15,153,0,1375,no,29,yes,no,no,0
11,86,0,14,no,12,yes,no,no,0
1173947,412,4627,743,yes,24811,no,no,no,0
301,550,1,4017,no,42931,no,no,no,0
158352,509,3533,13,no,63293,no,no,no,0
278002,2831,21481,19491,yes,29298,no,no,no,0
5156022,398,15982,62,yes,17715,no,no,no,0
4797,1859,443,1402,no,3571,no,no,no,0
5280949,321,33246,799,yes,5183,no,no,no,0
9905,15,356,24,no,57,no,no,no,0
426,602,45,1143,no,6719,no,no,no,0
8234316,254,3716,3,yes,6123,no,no,no,0
291,1736,7,0,no,543,yes,yes,no,0
177,608,2,98,no,191,no,no,N/A,0
43,116,0,273,no,145,yes,no,yes,0
120,173,0,99,no,14668,no,no,no,0
12,94,1,44,no,103,yes,no,no,0
9,54,0,100,no,49,yes,no,yes,0
1909411,17,11139,10994,yes,27849,no,no,no,0
173393,89,2056,112,yes,551,no,no,yes,0
151,1292,1,437,no,692,yes,no,no,0
6569,608,114,1600,yes,1212,no,no,no,0
97,245,0,249,no,1086,no,no,no,0
9,30,0,0,no,1,yes,no,no,0
7,19,0,16,no,13,yes,no,no,0
386,539,24,1851,no,4672,no,no,yes,0
68937,349,1324,18479,yes,47114,no,no,no,0
290004,101,613,207,yes,392,yes,no,no,0
352,125,26,31,no,582,no,no,no,0
1132,8,7,32,no,656,yes,no,yes,0
4,10,0,0,no,1,no,no,no,0
64,90,2,322,no,226,yes,no,no,0
3673,1485,216,5263,no,11406,yes,no,no,0
224,781,0,0,no,5,yes,no,no,0
167,272,0,73,no,634,no,no,yes,0
156924,1274,1754,185,yes,53377,no,no,no,0
112499,9471,2038,1,yes,625,no,no,no,0
45385,158,877,13431,yes,11153,no,no,no,0
2588083,207,2504,41,yes,1915,no,no,no,0
10576,91,510,731,no,12888,no,no,no,0
32,30,2,11,no,12,yes,no,no,0
32,70,0,0,no,4,yes,no,yes,0
259,991,0,0,no,0,yes,no,no,0
158317,283,1088,9,yes,1372,no,no,yes,0
76975,197,2119,4131,yes,1743,no,no,no,0
141730,582,2386,24,yes,1281,yes,no,no,0
399054,23907,7363,1,yes,205,no,no,no,0
638899,29303,5888,554,yes,9588,no,no,no,0
354,21,37,0,yes,225,no,no,no,0
44,67,0,0,no,954,yes,no,no,0
21,48,0,482,no,233,yes,no,N/A,0
