followers_count,friends_count,listedcount,favourites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,bot
2925,3,139,0,0,708,1,0,0,1
9,0,5,0,0,6,1,0,0,1
132,46,24,740,0,7346,1,0,0,1
54,1351,0,2,0,6,1,0,0,1
1300380,24248,7089,4184,1,8536,0,0,0,0
533,2,34,2,0,1056,1,0,0,1
343,1,8,0,0,5140,1,0,0,1
8217,2927,368,756,1,1396,0,0,0,0
307,4,14,5,0,2060,1,0,0,1
300,1,17,0,0,4092,1,0,0,1
159,0,8,0,0,904,0,0,0,1
416318,567,173,8652,1,4551,0,0,0,0
3012,729,754,10678,0,14560,0,0,0,0
197,0,11,0,0,199,0,0,0,1
2,5,0,3,0,6,1,0,N/A,0
66500,2456,1385,223,1,25109,0,0,0,0
5,237,0,0,0,2,1,0,1,0
2845,4,62,0,0,16272,0,0,0,1
1474799,1,6818,1793,0,20990,0,0,0,1
17,0,6,0,0,1859,1,0,0,1
85,4707,0,2,0,4,1,0,0,1
28875,0,855,0,1,437,0,0,0,0
1,319,0,19,0,25,1,0,0,1
1599,3,3,2,0,18100,1,0,0,1
16,1,8,0,0,3222,0,0,1,1
0,259,0,21,0,18,1,0,0,1
2775633,139,24528,20,1,426,0,0,0,0
159,242,3,13,0,292,1,0,0,0
46,12,12,986,0,6083,0,0,0,0
2,236,0,15,0,20,1,0,0,1
0,37,0,0,0,0,1,1,N/A,1
74,0,7,1,0,9057,1,0,0,1
29,0,16,0,0,2839,0,0,0,1
107622,76,1144,127,1,3900,0,0,1,0
502303,13766,4875,3374,1,69778,0,0,1,0
760,1,45,31,0,4193,1,0,0,1
0,98,0,0,0,2,1,1,0,1
375395,856,2743,1051,1,12859,0,0,0,0
4391,0,113,4,0,8732,1,0,0,1
289,208,4,20,0,1247,0,0,0,0
3706945,69092,14625,31627,1,63643,0,0,1,0
301788,46,2199,0,1,177,1,0,0,0
554,1188,13,1579,0,25119,0,0,1,0
687819,289,5197,4662,1,16654,0,0,0,0
211616,8617,4071,1941,1,2037,0,0,0,0
1571,181,49,608,0,409,0,0,0,0
111,329,1,2,0,1978,0,0,0,0
4937,5,135,0,0,1641,1,0,0,1
90,3,11,2,0,6585,0,0,0,1
27481,1,265,4,0,42940,1,0,0,1
214,265,0,24,0,816,0,0,0,0
9,30,0,0,0,6,1,1,0,0
248,231,46,56,0,71111,1,0,0,1
7886947,239,5192,4533,1,1637,0,0,1,0
13071,12939,27,315,0,1778,1,0,0,0
15,65,1,0,0,65,0,0,0,0
78,41,0,6628,0,4249,1,0,0,1
274,2,14,21,0,15340,1,0,0,1
6298,3780,82,85334,0,46617,0,0,1,0
33,2272,0,287,0,362,0,0,0,1
10,15,0,13,0,3,1,0,0,1
50549694,95,86635,0,1,2822,0,0,0,0
2633,2086,140,555,0,9628,0,0,0,0
957244,372,6928,3345,1,305,0,0,0,0
12,0,4,0,0,251,1,1,0,1
12853,13,453,0,0,4874,1,0,0,1
35,2,7,0,0,4571,0,0,0,1
8674,50,8,47,0,354,1,0,0,0
21,2033,1,317,0,403,0,0,0,1
1763697,397,5993,708,1,3859,0,0,0,0
149,65,7,60,0,95,0,0,0,0
3523,2726,142,32,0,18407,0,0,0,1
173,0,13,0,0,6893,1,0,0,1
8637650,2001,7746,81,1,9769,0,0,0,0
1609,0,60,0,0,1670,1,0,0,1
206,2,16,8,0,18817,0,0,0,1
1193,2268,43,1437,0,2991,0,0,0,0
132562,842,3292,4046,1,5000,0,0,0,0
362770,355287,1895,9,1,3042,1,0,1,1
540,2,65,0,0,745,0,0,0,1
647,0,7,3,0,75704,1,0,0,1
9374054,663,46921,491,1,66,0,0,0,0
371,1,32,2,0,3849,1,0,0,1
7614166,62,10958,0,1,4630,0,0,0,0
144137,1,3753,1,1,377,0,0,0,0
999,968,47,398,0,1027,0,0,0,0
5280,6,164,9,0,17341,0,0,0,1
505,13,49,0,0,5109,0,0,0,1
1087,1,40,0,0,1947,1,0,0,1
1,495,0,87,0,97,1,0,0,1
152,374,0,47,0,1044,1,0,0,1
1044180,557,3582,5,1,2389,0,0,0,0
26040,729,235,0,0,87219,1,0,0,1
1344610,2006,11357,949,1,11970,0,0,0,0
203,97,20,1218,0,570,0,0,0,0
192,304,3,128,0,119,0,0,0,0
25255491,671,51938,177,1,6976,0,0,0,0
1,341,0,44,0,36,1,0,0,1
1374,2102,13,2,0,114,1,0,0,1
4870150,41019,14970,5886,1,57218,0,0,1,0
3885,333,186,153,0,2100,1,0,0,0
29,97,0,0,0,3,1,0,1,1
66,2,20,0,0,5647,1,0,0,1
26,0,9,0,0,1317,0,0,0,1
250,523,8,3313,0,596,0,0,0,0
71727,34,778,0,0,109163,1,0,0,1
33,1,10,0,0,4032,0,0,1,1
2838072,261,7044,27,1,15473,0,0,0,0
3039240,1744,35817,412,1,37953,0,0,0,0
75,0,7,0,0,6414,1,0,0,1
31,0,6,0,0,975,1,0,0,1
7,55,0,0,0,19,1,0,0,0
119,1,21,0,0,18719,0,0,0,1
738119,33,13315,6,1,1125,0,0,0,0
1,315,0,13,0,27,1,0,0,1
79,244,0,821,0,4018,0,0,0,0
887,0,14,20624,0,43512,0,0,0,1
232,238,3,2721,0,33238,0,0,0,0
2,501,0,102,0,130,1,0,0,1
136,300,5,95,0,1748,0,0,0,0
32,79,0,0,0,493,0,0,0,0
0,349,0,42,0,77,1,0,0,1
1727,46,47,193,0,28918,1,0,0,1
243,4,4,0,0,69595,1,0,0,1
2,386,0,28,0,41,1,0,0,1
2,31,0,159,0,1,1,0,0,1
392,638,22,110,0,4530,1,0,0,0
1,369,0,28,0,36,1,0,0,1
689,4,35,1,0,46115,0,0,0,1
506,11,48,5,0,41052,1,0,0,1
1104,136,29,0,0,483,0,0,0,1
17,1,8,0,0,1522,1,0,0,1
630,4,42,96,0,15036,0,0,0,1
40,141,0,0,0,292,0,0,0,0
533146,454,4398,111,1,9671,0,0,1,0
2,75,0,0,0,0,1,1,N/A,0
197,599,2,135,0,1732,0,0,1,0
779,471,209,271,0,278,0,0,0,0
0,35,0,58,0,83,1,0,0,1
2923,1,52,0,0,652,0,0,0,1
1030609,4200,5333,746,1,18369,0,0,1,0
0,32,0,59,0,82,1,0,0,1
2254,200,45,573,0,3437,0,0,0,0
5324,184,151,1350,1,2631,0,0,1,0
8073,1,118,0,0,29984,0,0,0,1
114,128,3,43,0,6325,0,0,0,0
292043,4643,3088,9625,1,37195,0,0,0,0
397,2436,36,171,0,569,0,0,0,0
66,481,0,369,0,530,0,0,0,0
247,0,53,2,0,17811,0,0,0,1
4,492,0,57,0,76,1,0,0,1
1,328,0,27,0,26,1,0,0,1
119,0,11,0,0,1761,1,0,0,1
5458,4382,351,27939,0,6819,0,0,N/A,0
3,336,0,29,0,39,1,0,0,1
236,0,37,0,0,2821,0,0,0,1
104765,7128,6189,3256,1,13703,0,0,0,0
66368,636,838,338,1,1976,0,0,0,0
216,50,3,423,0,9957,0,0,0,0
26318809,354,70385,26,1,4642,0,0,0,0
957,2826,39,3255,0,4413,0,0,0,1
45,150,24,32,0,108,0,0,0,0
85,1,14,0,0,24631,0,0,0,1
142,1,20,0,0,3555,0,0,0,1
28933243,800,27857,43,1,42955,0,0,0,0
2671727,92031,14909,100,1,58530,0,0,0,0
301,786,10,561,0,1814,0,0,0,0
27,118,1,28,0,29,1,0,0,0
94472,66,62,336,1,857,0,0,0,0
571310,76070,4909,37437,1,56077,0,0,1,0
22,2107,1,297,0,387,0,0,0,1
1,162,0,0,0,0,1,1,0,1
44,99,2,20,0,24,0,0,1,0
77,490,0,1,0,15,0,0,0,1
118242,429,2996,2752,1,5329,0,0,0,0
25887,2623,411,17033,0,14258,0,0,0,0
0,10,0,0,0,1,1,0,N/A,0
6696,5379,172,756,0,5688,0,0,0,0
9942270,462,34321,13944,1,7312,0,0,0,0
2077766,113,5359,74,1,2274,0,0,0,0
112379,2116,73,2641,0,6421,1,0,1,0
1,41,1,80,0,126,1,0,0,1
16,19,0,6,0,37,0,0,0,0
1825704,7,1182,20,1,3781,0,0,0,0
376564,423,734,5306,1,1747,0,0,0,0
2282,275,65,493,0,4757,0,0,0,0
41,290,0,79,0,3,1,0,1,0
44,5,11,3,0,2396,1,0,0,1
292,1,26,0,0,1958,0,0,0,1
84,103,7,107,0,158,0,0,0,0
166,25,18,0,0,3622,0,0,0,1
7222,787,116,4,0,16034,0,0,1,0
8,1,1,0,0,0,1,0,0,1
7519,7,282,93,0,11363,0,0,0,0
381,197,33,2822,0,3064,0,0,0,0
62647,277,1197,431,1,11885,0,0,0,0
4060,95,24,39,0,26,0,0,1,0
166,1,24,0,0,17017,0,0,0,1
113,280,6,2600,0,4538,0,0,0,0
1786,2525,21,1,0,136932,0,0,0,1
20997,567,528,433,1,1927,0,0,0,0
3654259,1336,1129,3557,1,3456,0,0,0,0
19,23,4,2,0,2768,0,0,1,1
25,166,0,0,0,12,1,1,0,0
251,545,1,5095,0,2317,0,0,0,0
14448,699,479,5322,1,6444,0,0,0,0
945,2027,3,2847,0,13935,0,0,0,1
88,231,2,9,0,184,0,0,0,0
3917025,401,19708,15,1,47384,0,0,0,0
8,91,0,0,0,18,1,1,0,1
1617508,326,8249,788,1,17816,0,0,0,0
835901,36,446,18,1,289,0,0,1,0
211,1,31,0,0,46816,1,0,0,1
20,0,16,0,0,42453,1,0,0,1
8939,6003,516,710,0,5846,1,0,0,1
1464,40,157,996,0,144584,0,0,0,1
7088,354,418,546,0,309,1,0,0,0
0,70,0,0,0,0,1,1,N/A,1
175,2,20,2,0,8843,1,0,0,1
29,1,9,0,0,105,1,0,0,1
6,0,4,0,0,11,1,0,0,1
2623,5,52,409,0,3952,0,0,0,1
5,11,0,0,0,0,1,0,0,0
232,386,1,3798,0,2369,1,0,0,0
61,0,3,0,0,81,1,0,0,1
876,448,38,67,0,9732,0,0,1,0
1221007,14466,5214,3216,1,12793,0,0,0,0
5,603,1,155,0,166,1,0,0,1
168,2,18,0,0,12406,1,0,0,1
829,621,36,753,0,9500,0,0,0,0
53028,10,405,0,1,25,1,0,0,0
214,746,3,155,0,1177,0,0,0,0
203,2231,0,693,0,36,1,0,0,0
2108,3,60,8,0,49270,0,0,0,1
8740007,9,9992,1127,1,36200,0,0,0,0
2133107,50,17074,2,1,1337,0,0,0,0
3,156,0,0,0,2,1,1,0,1
513333,243,3857,48,1,1707,0,0,0,0
121,592,13,1690,0,1085,1,0,1,0
47395,1099,3332,714021,1,24623,0,0,1,0
397,684,3,5430,0,5649,1,0,0,0
815583,178,4533,484,1,2391,0,0,0,0
48,13,0,0,0,10,0,0,0,0
44865,113,481,907,1,3460,0,0,0,0
240,2,13,0,0,3622,0,0,0,0
4,102,0,2,0,0,1,0,1,1
578,17,96,0,0,5234,0,0,0,1
1267,134,13,9912,0,7029,0,0,0,0
14,593,0,1,0,4,1,0,0,1
428,410,13,630,0,16989,1,0,0,1
3342242,799,945,3517,1,5428,0,0,0,0
1353,76,4,1,0,21536,0,0,0,1
41,0,11,0,0,300,1,0,0,1
146,932,0,3,0,9,0,0,0,0
8,0,4,0,0,528,1,0,0,1
